"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"1302",6.7,0.86,0.07,2,0.1,20,57,0.99598,3.6,0.74,11.7,"6"
"572",6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,"6"
"924",6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,"6"
"1320",9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1,"6"
"1301",5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,"6"
"927",9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,"6"
"1024",8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3,"6"
"71",7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,"6"
"349",9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,"6"
"602",13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,"6"
"1358",7.3,0.43,0.24,2.5,0.078,27,67,0.99648,3.6,0.59,11.1,"6"
"702",7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,"6"
"1298",7.2,0.53,0.14,2.1,0.064,15,29,0.99323,3.35,0.61,12.1,"6"
"276",7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,"6"
"919",8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,"6"
"1336",6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,"6"
"1180",8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,"6"
"1408",6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,"6"
"788",10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,"6"
"34",6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,"6"
"1571",6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4,"6"
"624",7.9,0.51,0.25,2.9,0.077,21,45,0.9974,3.49,0.96,12.1,"6"
"379",11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,"6"
"986",7.4,0.58,0,2,0.064,7,11,0.99562,3.45,0.58,11.3,"6"
"52",6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,"6"
"1410",6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,"6"
"571",11.5,0.35,0.49,3.3,0.07,10,37,1.0003,3.32,0.91,11,"6"
"918",6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,"6"
"1265",8.5,0.37,0.32,1.8,0.066,26,51,0.99456,3.38,0.72,11.8,"6"
"512",10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,"6"
"536",9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,"6"
"640",8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,"6"
"229",7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,"6"
"1181",8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,"6"
"933",7.6,0.4,0.29,1.9,0.078,29,66,0.9971,3.45,0.59,9.5,"6"
"677",10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,"6"
"30",7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,"6"
"936",8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,"6"
"661",7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,"6"
"971",10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,"6"
"1381",7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,"6"
"1214",9.6,0.38,0.42,1.9,0.071,5,13,0.99659,3.15,0.75,10.5,"6"
"885",8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,"6"
"1378",5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,"6"
"830",5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,"6"
"308",10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,"6"
"465",11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,"6"
"969",9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,"6"
"1513",6.4,0.79,0.04,2.2,0.061,11,17,0.99588,3.53,0.65,10.4,"6"
"1118",7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,"6"
"21",8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,"6"
"1147",7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,"6"
"1325",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,"6"
"1245",5.9,0.29,0.25,13.4,0.067,72,160,0.99721,3.33,0.54,10.3,"6"
"958",9.5,0.37,0.52,2,0.088,12,51,0.99613,3.29,0.58,11.1,"6"
"1143",6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,"6"
"1318",9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,"6"
"812",12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,"6"
"650",6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,"6"
"116",9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,"6"
"1365",7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,"6"
"1531",6.6,0.44,0.09,2.2,0.063,9,18,0.99444,3.42,0.69,11.3,"6"
"1215",10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,"6"
"1412",6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,"6"
"399",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,"6"
"815",12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3,"6"
"419",11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,"6"
"295",13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,"6"
"965",8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,"6"
"332",10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,"6"
"402",7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,"6"
"351",10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,"6"
"804",7.7,0.56,0.08,2.5,0.114,14,46,0.9971,3.24,0.66,9.6,"6"
"377",11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,"6"
"517",12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,"6"
"818",10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,"6"
"344",10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,"6"
"613",7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,"6"
"889",6.8,0.57,0,2.5,0.072,32,64,0.99491,3.43,0.56,11.2,"6"
"36",7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,"6"
"53",6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,"6"
"469",11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,"6"
"1249",6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,"6"
"172",8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,"6"
"1525",6,0.42,0.19,2,0.075,22,47,0.99522,3.39,0.78,10,"6"
"710",9.7,0.31,0.47,1.6,0.062,13,33,0.9983,3.27,0.66,10,"6"
"667",8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5,"6"
"1047",7.6,0.78,0,1.7,0.076,33,45,0.99612,3.31,0.62,10.7,"6"
"548",10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,"6"
"817",9.8,0.51,0.19,3.2,0.081,8,30,0.9984,3.23,0.58,10.5,"6"
"1463",6.8,0.64,0.03,2.3,0.075,14,31,0.99545,3.36,0.58,10.4,"6"
"1544",11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4,"6"
"1140",8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,"6"
"756",7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,"6"
"1107",8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,"6"
"618",11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,"6"
"381",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,"6"
"1136",8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,"6"
"430",12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,"6"
"750",7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,"6"
"1034",7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4,"6"
"1340",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,"6"
"1131",9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4,"6"
"1508",7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,"6"
"409",10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,"6"
"1572",6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,"6"
"529",8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,"6"
"993",6.5,0.4,0.1,2,0.076,30,47,0.99554,3.36,0.48,9.4,"6"
"149",6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,"6"
"1103",6.1,0.48,0.09,1.7,0.078,18,30,0.99402,3.45,0.54,11.2,"6"
"109",8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,"6"
"1117",7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,"6"
"380",8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,"6"
"1496",7,0.43,0.02,1.9,0.08,15,28,0.99492,3.35,0.81,10.6,"6"
"1243",9,0.4,0.41,2,0.058,15,40,0.99414,3.22,0.6,12.2,"6"
"1505",7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,"6"
"781",7,0.57,0,2,0.19,12,45,0.99676,3.31,0.6,9.4,"6"
"606",8.3,0.6,0.13,2.6,0.085,6,24,0.9984,3.31,0.59,9.2,"6"
"1499",6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,"6"
"631",8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,"6"
"1201",7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,"6"
"1440",7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.0666666666667,"6"
"1578",6.2,0.7,0.15,5.1,0.076,13,27,0.99622,3.54,0.6,11.9,"6"
"1049",9.3,0.49,0.36,1.7,0.081,3,14,0.99702,3.27,0.78,10.9,"6"
"1379",7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,"6"
"1579",6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3,"6"
"145",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,"6"
"480",9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,"6"
"205",7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,"6"
"324",10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,"6"
"544",11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,"6"
"869",6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,"6"
"213",11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,"6"
"403",12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,"6"
"1352",7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8,"6"
"799",9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,"6"
"771",7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,"6"
"237",7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,"6"
"1341",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,"6"
"1159",6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,"6"
"1536",7,0.55,0.13,2.2,0.075,15,35,0.9959,3.36,0.59,9.7,"6"
"102",7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,"6"
"192",6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,"6"
"1570",6.2,0.51,0.14,1.9,0.056,15,34,0.99396,3.48,0.57,11.5,"6"
"1043",8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,"6"
"747",8.2,0.34,0.38,2.5,0.08,12,57,0.9978,3.3,0.47,9,"6"
"1115",5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,"6"
"545",14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,"6"
"832",5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,"6"
"608",8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,"6"
"569",9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7,"6"
"1403",7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,"6"
"915",7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,"6"
"528",7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,"6"
"605",8.3,0.58,0.13,2.9,0.096,14,63,0.9984,3.17,0.62,9.1,"6"
"534",10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,"6"
"535",10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,"6"
"972",10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,"6"
"860",6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,"6"
"1095",6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,"6"
"1575",5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,"6"
"1363",11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333,"6"
"795",10.1,0.27,0.54,2.3,0.065,7,26,0.99531,3.17,0.53,12.5,"6"
"1331",7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,"6"
"857",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,"6"
"1055",8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,"6"
"43",7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,"6"
"329",13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,"6"
"789",10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,"6"
"1396",8.6,0.685,0.1,1.6,0.092,3,12,0.99745,3.31,0.65,9.55,"6"
"461",9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,"6"
"1319",7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,"6"
"1124",10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,"6"
"1504",6.2,0.44,0.39,2.5,0.077,6,14,0.99555,3.51,0.69,11,"6"
"1538",5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,"6"
"352",9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,"6"
"668",11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,"6"
"85",6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,"6"
"937",8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,"6"
"1455",11.7,0.45,0.63,2.2,0.073,7,23,0.99974,3.21,0.69,10.9,"6"
"1266",7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,"6"
"345",11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,"6"
"1092",7.9,0.34,0.42,2,0.086,8,19,0.99546,3.35,0.6,11.4,"6"
"135",7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,"6"
"1574",6,0.58,0.2,2.4,0.075,15,50,0.99467,3.58,0.67,12.5,"6"
"500",8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,"6"
"1589",7.2,0.66,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8,"6"
"389",7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,"6"
"1380",7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,"6"
"348",13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,"6"
"114",10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,"6"
"800",9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,"6"
"1456",6.5,0.9,0,1.6,0.052,9,17,0.99467,3.5,0.63,10.9,"6"
"278",11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,"6"
"1461",6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,"6"
"1473",7.6,0.35,0.6,2.6,0.073,23,44,0.99656,3.38,0.79,11.1,"6"
"1200",7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,"6"
"309",10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,"6"
"1391",6,0.49,0,2.3,0.068,15,33,0.99292,3.58,0.59,12.5,"6"
"1122",6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,"6"
"232",8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,"6"
"212",8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,"6"
"1533",7.2,0.53,0.13,2,0.058,18,22,0.99573,3.21,0.68,9.9,"6"
"1101",8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,"6"
"1507",6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,"6"
"452",8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,"6"
"473",12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,"6"
"246",7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,"6"
"495",6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,"6"
"564",7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,"6"
"559",10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,"6"
"301",7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,"6"
"1040",8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,"6"
"1213",6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,"6"
"1155",6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,"6"
"983",7.3,0.52,0.32,2.1,0.07,51,70,0.99418,3.34,0.82,12.9,"6"
"1588",5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,"6"
"1116",7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,"6"
"341",12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,"6"
"531",9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,"6"
"316",7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,"6"
"1050",9.3,0.5,0.36,1.8,0.084,6,17,0.99704,3.27,0.77,10.8,"6"
"615",9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2,"6"
"1500",6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,"6"
"1016",10.5,0.39,0.46,2.2,0.075,14,27,0.99598,3.06,0.84,11.4,"6"
"224",8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,"6"
"570",6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,"6"
"521",9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,"6"
"1141",7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,"6"
"1553",6.3,0.68,0.01,3.7,0.103,32,54,0.99586,3.51,0.66,11.3,"6"
"1576",7.5,0.52,0.4,2.2,0.06,12,20,0.99474,3.26,0.64,11.8,"6"
"912",9.1,0.28,0.46,9,0.114,3,9,0.99901,3.18,0.6,10.9,"6"
"478",10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,"6"
"805",8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,"6"
"955",7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,"6"
"339",12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5,"6"
"1018",8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,"6"
"310",7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,"6"
"1436",10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,"6"
"1022",11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,"6"
"169",6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,"6"
"1411",6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,"6"
"1537",6.1,0.53,0.08,1.9,0.077,24,45,0.99528,3.6,0.68,10.3,"6"
"236",7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,"6"
"1251",7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,"6"
"1360",11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333,"6"
"1088",7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,"6"
"1281",7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,"6"
"407",9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,"6"
"1278",7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,"6"
"682",8,0.45,0.23,2.2,0.094,16,29,0.9962,3.21,0.49,10.2,"6"
"392",13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,"6"
"1435",10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,"6"
"1596",5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2,"6"
"78",6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,"6"
"580",10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,"6"
"957",9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,"6"
"1084",8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,"6"
"1295",8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,"6"
"1567",6.7,0.16,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2,"6"
"610",6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,"6"
"373",9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,"6"
"1063",8,0.38,0.44,1.9,0.098,6,15,0.9956,3.3,0.64,11.4,"6"
"250",7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,"6"
"1432",7.6,0.43,0.31,2.1,0.069,13,74,0.9958,3.26,0.54,9.9,"6"
"1074",8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,"6"
"1426",8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,"6"
"501",7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,"6"
"1186",7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,"6"
"433",11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,"6"
"1221",10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,"6"
"255",7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,"6"
"551",6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5,"6"
"1593",6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,"6"
"867",6.8,0.49,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3,"6"
"1369",8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,"6"
"100",8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,"6"
"568",8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,"6"
"1216",8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,"6"
"1498",6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,"6"
"597",12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,"6"
"738",8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,"6"
"355",6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,"6"
"1175",7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,"6"
"1197",7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,"6"
"198",11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,"6"
"249",7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,"6"
"467",10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,"6"
"700",11.8,0.38,0.55,2.1,0.071,5,19,0.9986,3.11,0.62,10.8,"6"
"388",8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,"6"
"1516",6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,"6"
"411",9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,"6"
"333",8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,"6"
